2021-08-04 08:45:05,580  INFO: 主引擎创建成功
2021-08-04 08:45:05,582  INFO: 注册日志事件监听
2021-08-04 08:45:05,582  INFO: 连接CTP接口
2021-08-04 08:45:05,681  INFO: 行情服务器连接成功
2021-08-04 08:45:05,715  INFO: 行情服务器登录成功
2021-08-04 08:45:05,789  INFO: 交易服务器连接成功
2021-08-04 08:45:06,046  INFO: 交易服务器授权验证成功
2021-08-04 08:45:06,106  INFO: 交易服务器登录成功
2021-08-04 08:45:06,208  INFO: 结算信息确认成功
2021-08-04 08:45:10,947  INFO: 合约信息查询成功
2021-08-04 08:45:16,353  INFO: RQData数据接口初始化成功
2021-08-04 08:45:16,923  INFO: CTA策略引擎初始化成功
2021-08-04 08:45:16,939  INFO: CTA引擎初始化完成
2021-08-04 08:45:16,950  INFO: papertest1开始执行初始化
2021-08-04 08:45:17,501  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:23:00
2021-08-04 08:45:17,504  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:9.660309778465907, trading_size:5
2021-08-04 08:45:17,505  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-04 08:45:17,507  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:25:00
2021-08-04 08:45:17,514  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:9.855341263339268, trading_size:5
2021-08-04 08:45:17,525  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-04 08:45:17,537  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:27:00
2021-08-04 08:45:17,550  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:9.700629216839666, trading_size:5
2021-08-04 08:45:17,563  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-04 08:45:17,575  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:29:00
2021-08-04 08:45:17,587  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.142293586047023, trading_size:4
2021-08-04 08:45:17,600  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:31:00
2021-08-04 08:45:17,611  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.630392812400629, trading_size:3
2021-08-04 08:45:17,623  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:3
2021-08-04 08:45:17,635  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:33:00
2021-08-04 08:45:17,647  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:14.161218480005909, trading_size:3
2021-08-04 08:45:17,658  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:35:00
2021-08-04 08:45:17,670  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:14.397851650119891, trading_size:3
2021-08-04 08:45:17,682  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:37:00
2021-08-04 08:45:17,693  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:13.864722414581898, trading_size:3
2021-08-04 08:45:17,706  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:39:00
2021-08-04 08:45:17,718  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:13.4594757106313, trading_size:3
2021-08-04 08:45:17,730  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:41:00
2021-08-04 08:45:17,741  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:13.421332898676589, trading_size:3
2021-08-04 08:45:17,753  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:43:00
2021-08-04 08:45:17,765  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:13.053085458328761, trading_size:3
2021-08-04 08:45:17,776  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:3
2021-08-04 08:45:17,788  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:45:00
2021-08-04 08:45:17,800  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.798948168862305, trading_size:3
2021-08-04 08:45:17,813  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:47:00
2021-08-04 08:45:17,824  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.732687884624902, trading_size:3
2021-08-04 08:45:17,830  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:3
2021-08-04 08:45:17,835  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:49:00
2021-08-04 08:45:17,867  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.671182906644288, trading_size:3
2021-08-04 08:45:17,869  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:51:00
2021-08-04 08:45:17,872  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.198304994831183, trading_size:4
2021-08-04 08:45:17,873  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:53:00
2021-08-04 08:45:17,876  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.015263323760573, trading_size:4
2021-08-04 08:45:17,878  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:55:00
2021-08-04 08:45:17,882  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.847002402378635, trading_size:4
