2021-08-03 00:36:45,651  INFO: 主引擎创建成功
2021-08-03 00:36:45,652  INFO: 注册日志事件监听
2021-08-03 00:36:45,652  INFO: 连接CTP接口
2021-08-03 00:36:45,746  INFO: 行情服务器连接成功
2021-08-03 00:36:45,778  INFO: 行情服务器登录成功
2021-08-03 00:36:45,830  INFO: 交易服务器连接成功
2021-08-03 00:36:46,039  INFO: 交易服务器授权验证成功
2021-08-03 00:36:46,096  INFO: 交易服务器登录成功
2021-08-03 00:36:46,198  INFO: 结算信息确认成功
2021-08-03 00:36:51,732  INFO: 合约信息查询成功
2021-08-03 00:36:56,452  INFO: RQData数据接口初始化成功
2021-08-03 00:36:57,051  INFO: CTA策略引擎初始化成功
2021-08-03 00:36:57,061  INFO: CTA引擎初始化完成
2021-08-03 00:36:57,074  INFO: papertest1开始执行初始化
2021-08-03 00:36:57,887  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:29:00
2021-08-03 00:36:57,888  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.142293586047023, trading_size:4
2021-08-03 00:36:57,889  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:31:00
2021-08-03 00:36:57,890  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.630392812400629, trading_size:3
2021-08-03 00:36:57,891  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:3
2021-08-03 00:36:57,891  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:33:00
2021-08-03 00:36:57,892  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:14.161218480005909, trading_size:3
2021-08-03 00:36:57,893  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:35:00
2021-08-03 00:36:57,894  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:14.397851650119891, trading_size:3
2021-08-03 00:36:57,895  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:37:00
2021-08-03 00:36:57,895  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:13.864722414581898, trading_size:3
2021-08-03 00:36:57,896  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:39:00
2021-08-03 00:36:57,897  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:13.4594757106313, trading_size:3
2021-08-03 00:36:57,898  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:41:00
2021-08-03 00:36:57,899  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:13.421332898676589, trading_size:3
2021-08-03 00:36:57,899  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:43:00
2021-08-03 00:36:57,900  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:13.053085458328761, trading_size:3
2021-08-03 00:36:57,901  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:3
2021-08-03 00:36:57,902  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:45:00
2021-08-03 00:36:57,903  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.798948168862305, trading_size:3
2021-08-03 00:36:57,903  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:47:00
2021-08-03 00:36:57,904  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.732687884624902, trading_size:3
2021-08-03 00:36:57,905  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:3
2021-08-03 00:36:57,906  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:49:00
2021-08-03 00:36:57,907  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.671182906644288, trading_size:3
2021-08-03 00:36:57,907  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:51:00
2021-08-03 00:36:57,908  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.198304994831183, trading_size:4
2021-08-03 00:36:57,909  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:53:00
2021-08-03 00:36:57,910  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.015263323760573, trading_size:4
2021-08-03 00:36:57,911  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:55:00
2021-08-03 00:36:57,911  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.847002402378635, trading_size:4
2021-08-03 00:36:57,912  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:57:00
2021-08-03 00:36:57,913  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.109734296009947, trading_size:4
2021-08-03 00:36:57,914  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-03 00:36:57,915  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:59:00
2021-08-03 00:36:57,915  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.100604096278827, trading_size:4
2021-08-03 00:36:57,916  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:01:00
2021-08-03 00:36:57,917  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.675607473433686, trading_size:4
2021-08-03 00:36:57,918  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,919  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:03:00
2021-08-03 00:36:57,919  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.868909333663, trading_size:4
2021-08-03 00:36:57,919  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,920  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:05:00
2021-08-03 00:36:57,921  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.796446504012989, trading_size:4
2021-08-03 00:36:57,922  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,922  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:07:00
2021-08-03 00:36:57,923  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.73009386818238, trading_size:4
2021-08-03 00:36:57,924  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,925  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:09:00
2021-08-03 00:36:57,926  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.169012769816154, trading_size:4
2021-08-03 00:36:57,926  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,927  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:11:00
2021-08-03 00:36:57,928  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.738458673540032, trading_size:4
2021-08-03 00:36:57,929  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,930  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:13:00
2021-08-03 00:36:57,931  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.593680229498162, trading_size:4
2021-08-03 00:36:57,931  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,932  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:15:00
2021-08-03 00:36:57,933  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.711177948604734, trading_size:4
2021-08-03 00:36:57,934  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,935  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:17:00
2021-08-03 00:36:57,936  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.068916422225932, trading_size:4
2021-08-03 00:36:57,936  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,939  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:19:00
2021-08-03 00:36:57,943  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.730212502052987, trading_size:4
2021-08-03 00:36:57,944  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,946  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:21:00
2021-08-03 00:36:57,947  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.336432806334644, trading_size:4
2021-08-03 00:36:57,949  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,950  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:23:00
2021-08-03 00:36:57,951  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.308783512422353, trading_size:4
2021-08-03 00:36:57,953  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,954  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:25:00
2021-08-03 00:36:57,956  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.033259264631333, trading_size:4
2021-08-03 00:36:57,957  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,958  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:27:00
2021-08-03 00:36:57,960  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.28100693818917, trading_size:4
